variant,component,log10k
current_sssc_fixed_grid,kxx,-3.881138883196208
current_sssc_fixed_grid,kxx,-0.16663430344725175
current_sssc_fixed_grid,kxx,-0.18613148654089762
current_sssc_fixed_grid,kxx,-0.5583144114932216
current_sssc_fixed_grid,kxx,-4.05305532184375
current_sssc_fixed_grid,kxx,-4.046389133596009
current_sssc_fixed_grid,kxx,-0.4322443419456696
current_sssc_fixed_grid,kxx,-3.786724152862401
current_sssc_fixed_grid,kxx,-4.005430806530805
current_sssc_fixed_grid,kxx,-4.062520993453209
current_sssc_fixed_grid,kxx,-4.1420943005665976
current_sssc_fixed_grid,kxx,-4.107933026080776
current_sssc_fixed_grid,kxx,-4.490300770895173
current_sssc_fixed_grid,kxx,-4.117326588154717
current_sssc_fixed_grid,kxx,-4.0725082220695175
current_sssc_fixed_grid,kxx,-0.24870632398566309
current_sssc_fixed_grid,kxx,-3.999149440177559
current_sssc_fixed_grid,kxx,-0.5650444546876081
current_sssc_fixed_grid,kxx,-0.059322899137378655
current_sssc_fixed_grid,kxx,-3.9517297496128045
current_sssc_fixed_grid,kxx,-4.277585262104625
current_sssc_fixed_grid,kxx,-0.2765423483289486
current_sssc_fixed_grid,kxx,-3.88084921290403
current_sssc_fixed_grid,kxx,-3.8911579680296087
current_sssc_fixed_grid,kxx,-4.028480133924333
current_sssc_fixed_grid,kxx,-0.4855156269487118
current_sssc_fixed_grid,kxx,-0.34203906636221476
current_sssc_fixed_grid,kxx,-4.084486831822516
current_sssc_fixed_grid,kxx,-4.178735781965292
current_sssc_fixed_grid,kxx,-0.38147411327010694
current_sssc_fixed_grid,kxx,-4.0164614479480525
current_sssc_fixed_grid,kxx,-4.171557063209561
current_sssc_fixed_grid,kxx,-0.5316252194635679
current_sssc_fixed_grid,kxx,-3.9440294828644533
current_sssc_fixed_grid,kxx,-4.009447641608488
current_sssc_fixed_grid,kxx,-4.213778263466079
current_sssc_fixed_grid,kxx,-0.5596599983415468
current_sssc_fixed_grid,kxx,-3.927670814193862
current_sssc_fixed_grid,kxx,-4.178830704332557
current_sssc_fixed_grid,kxx,-4.404866141603444
current_sssc_fixed_grid,kxx,-4.0405879121142005
current_sssc_fixed_grid,kxx,-4.130172003988515
current_sssc_fixed_grid,kxx,-4.2040536802969735
current_sssc_fixed_grid,kxx,-0.4334885195124376
current_sssc_fixed_grid,kxx,-4.040849824884504
current_sssc_fixed_grid,kxx,-3.9995194100147256
current_sssc_fixed_grid,kxx,-0.7633330572647172
current_sssc_fixed_grid,kxx,-0.3844401714383402
current_sssc_fixed_grid,kxx,-0.22134553580500663
current_sssc_fixed_grid,kxx,-4.12786786582121
current_sssc_fixed_grid,kxx,-4.17499962519288
current_sssc_fixed_grid,kxx,-4.262155774097902
current_sssc_fixed_grid,kxx,0.32946596991090193
current_sssc_fixed_grid,kxx,-4.301516235331995
current_sssc_fixed_grid,kxx,-4.0782241626481595
current_sssc_fixed_grid,kxx,0.35191506312702014
current_sssc_fixed_grid,kxx,-4.14191395577267
current_sssc_fixed_grid,kxx,-4.0740051309027185
current_sssc_fixed_grid,kxx,-4.007221846618869
current_sssc_fixed_grid,kxx,-4.011933642595519
current_sssc_fixed_grid,kxx,-4.028941792045875
current_sssc_fixed_grid,kxx,-0.023547316126874388
current_sssc_fixed_grid,kxx,-0.2065488244657957
current_sssc_fixed_grid,kxx,-4.25241122320915
current_sssc_fixed_grid,kxx,-4.077156426650404
