Window,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
famp2,11,case_011_zf0500_svcl010_cvcl050,500,0.1,0.5,2000,2000,0,1,211001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_011_zf0500_svcl010_cvcl050\predict_runs.mat
famp2,12,case_012_zf0500_svcl010_cvcl060,500,0.1,0.6,2000,2000,0,1,212001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_012_zf0500_svcl010_cvcl060\predict_runs.mat
famp2,13,case_013_zf0500_svcl020_cvcl040,500,0.2,0.4,2000,2000,0,1,213001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_013_zf0500_svcl020_cvcl040\predict_runs.mat
famp2,14,case_014_zf0500_svcl020_cvcl050,500,0.2,0.5,2000,2000,0,1,214001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_014_zf0500_svcl020_cvcl050\predict_runs.mat
famp2,15,case_015_zf0500_svcl020_cvcl060,500,0.2,0.6,2000,2000,0,1,215001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_015_zf0500_svcl020_cvcl060\predict_runs.mat
famp2,16,case_016_zf0500_svcl030_cvcl040,500,0.3,0.4,2000,2000,0,1,216001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_016_zf0500_svcl030_cvcl040\predict_runs.mat
famp2,17,case_017_zf0500_svcl030_cvcl050,500,0.3,0.5,2000,2000,0,1,217001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_017_zf0500_svcl030_cvcl050\predict_runs.mat
famp2,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,218001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
famp2,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,219001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
famp2,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,220001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\data\famp2\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
