Window,Nsim,Repeat,Metric,Component,Score
famp1,20,18,Hellinger,kxx,0.315162452668544
famp1,20,18,Hellinger,kyy,0.275698788814852
famp1,20,18,Hellinger,kzz,0.278347460632352
famp1,20,18,Wasserstein,kxx,0.406548767564817
famp1,20,18,Wasserstein,kyy,0.532672120686891
famp1,20,18,Wasserstein,kzz,0.0834775941325466
famp1,20,19,MAE,kxx,0.0229458333333333
famp1,20,19,MAE,kyy,0.0157583333333333
famp1,20,19,MAE,kzz,0.0237625
famp1,20,19,Hellinger,kxx,0.335561777235539
famp1,20,19,Hellinger,kyy,0.270267411229376
famp1,20,19,Hellinger,kzz,0.324747759401291
famp1,20,19,Wasserstein,kxx,0.33697160162558
famp1,20,19,Wasserstein,kyy,0.255422442443742
famp1,20,19,Wasserstein,kzz,0.301902552159381
famp1,20,20,MAE,kxx,0.020175
famp1,20,20,MAE,kyy,0.0222375
famp1,20,20,MAE,kzz,0.007625
famp1,20,20,Hellinger,kxx,0.343249209083687
famp1,20,20,Hellinger,kyy,0.315200211899902
famp1,20,20,Hellinger,kzz,0.188043655596388
famp1,20,20,Wasserstein,kxx,0.416786127155307
famp1,20,20,Wasserstein,kyy,0.135896888438997
famp1,20,20,Wasserstein,kzz,0.14865402626831
famp1,20,21,MAE,kxx,0.0260583333333333
famp1,20,21,MAE,kyy,0.0210083333333333
famp1,20,21,MAE,kzz,0.0119791666666667
famp1,20,21,Hellinger,kxx,0.325888403224265
famp1,20,21,Hellinger,kyy,0.332335110756663
famp1,20,21,Hellinger,kzz,0.241954752999536
famp1,20,21,Wasserstein,kxx,0.412622678913647
famp1,20,21,Wasserstein,kyy,0.139134056486501
famp1,20,21,Wasserstein,kzz,0.228423151728321
famp1,20,22,MAE,kxx,0.0316708333333333
famp1,20,22,MAE,kyy,0.0146916666666667
famp1,20,22,MAE,kzz,0.0197958333333333
famp1,20,22,Hellinger,kxx,0.427794703031732
famp1,20,22,Hellinger,kyy,0.251457906064561
famp1,20,22,Hellinger,kzz,0.232325677053778
famp1,20,22,Wasserstein,kxx,0.2049031989278
famp1,20,22,Wasserstein,kyy,0.251918369134535
famp1,20,22,Wasserstein,kzz,0.135371319534187
famp1,20,23,MAE,kxx,0.0229583333333333
famp1,20,23,MAE,kyy,0.019875
famp1,20,23,MAE,kzz,0.0128333333333333
famp1,20,23,Hellinger,kxx,0.318264246367018
famp1,20,23,Hellinger,kyy,0.284720415831345
famp1,20,23,Hellinger,kzz,0.25610422481427
famp1,20,23,Wasserstein,kxx,0.442266598712853
famp1,20,23,Wasserstein,kyy,0.193494384404617
famp1,20,23,Wasserstein,kzz,0.103805733563486
famp1,20,24,MAE,kxx,0.0221166666666667
famp1,20,24,MAE,kyy,0.0129
famp1,20,24,MAE,kzz,0.012675
famp1,20,24,Hellinger,kxx,0.323650178306783
famp1,20,24,Hellinger,kyy,0.266893216740845
famp1,20,24,Hellinger,kzz,0.194677568005055
famp1,20,24,Wasserstein,kxx,0.593631106267131
famp1,20,24,Wasserstein,kyy,0.14271320247768
famp1,20,24,Wasserstein,kzz,0.422081044213357
famp1,20,25,MAE,kxx,0.0254083333333333
famp1,20,25,MAE,kyy,0.0200208333333333
famp1,20,25,MAE,kzz,0.0164166666666667
famp1,20,25,Hellinger,kxx,0.355426302773874
famp1,20,25,Hellinger,kyy,0.300640686184084
famp1,20,25,Hellinger,kzz,0.335810625602113
famp1,20,25,Wasserstein,kxx,0.527111025431239
famp1,20,25,Wasserstein,kyy,0.238221838990312
famp1,20,25,Wasserstein,kzz,0.373055494508401
famp1,20,26,MAE,kxx,0.0207583333333333
famp1,20,26,MAE,kyy,0.0257333333333333
famp1,20,26,MAE,kzz,0.0156666666666667
famp1,20,26,Hellinger,kxx,0.258963981074417
famp1,20,26,Hellinger,kyy,0.31014110828223
famp1,20,26,Hellinger,kzz,0.290677701339469
famp1,20,26,Wasserstein,kxx,0.298040721530543
