Window,Nsim,Metric,Component,MedianScore,P10Score,P90Score,FloorMedian,FloorMin,FloorMax
famp4,750,MAE,kzz,0.00311944444444445,0.00267986111111111,0.00481944444444445,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,750,Hellinger,kxx,0.0407570943282448,0.0288444823970422,0.0531191032353049,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,750,Hellinger,kyy,0.0483458621866039,0.039128699116245,0.067526012936557,0.0162733249124308,0.0134917658528687,0.0169795789233566
famp4,750,Hellinger,kzz,0.0480736230036001,0.0395874112157034,0.0695299665512161,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,750,Wasserstein,kxx,0.0258064723852437,0.0174882156172025,0.0435722256291734,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,750,Wasserstein,kyy,0.0240617450679033,0.012738612128628,0.0455004836772892,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,750,Wasserstein,kzz,0.0408280935757555,0.0283624977737273,0.0830815265026827,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp4,1000,MAE,kxx,0.00274166666666667,0.00186041666666667,0.003475,0.00112916666666667,0.000929166666666667,0.00118333333333333
famp4,1000,MAE,kyy,0.00168333333333333,0.00119791666666667,0.00238541666666667,0.000791666666666668,0.000549999999999999,0.000916666666666668
famp4,1000,MAE,kzz,0.00287291666666667,0.0021,0.00385625,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,1000,Hellinger,kxx,0.0376209737671093,0.0286228786551879,0.0438495969613053,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,1000,Hellinger,kyy,0.0478575687783889,0.036810862615632,0.0556840701887622,0.0162733249124308,0.0134917658528687,0.0169795789233566
famp4,1000,Hellinger,kzz,0.0438038237014325,0.0348591619810644,0.0527800533567395,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,1000,Wasserstein,kxx,0.0257479027554019,0.0181742118814968,0.0381184977930514,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,1000,Wasserstein,kyy,0.0214866251597895,0.0134760504530467,0.0410897558638996,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,1000,Wasserstein,kzz,0.0350168024768579,0.0230232591376922,0.0721831807382267,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp4,1500,MAE,kxx,0.00240416666666667,0.00140069444444444,0.00344583333333333,0.00112916666666667,0.000929166666666667,0.00118333333333333
famp4,1500,MAE,kyy,0.00152638888888889,0.000925,0.00229791666666667,0.000791666666666668,0.000549999999999999,0.000916666666666668
famp4,1500,MAE,kzz,0.00236805555555556,0.00163611111111111,0.00328263888888889,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,1500,Hellinger,kxx,0.0286804383128991,0.0198423071906714,0.0390284388794068,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,1500,Hellinger,kyy,0.0344924527382832,0.0291143308466182,0.045013131917198,0.0162733249124308,0.0134917658528687,0.0169795789233566
famp4,1500,Hellinger,kzz,0.0373974421683497,0.0274359843861719,0.0472882724794852,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,1500,Wasserstein,kxx,0.0195876717361955,0.0143133254478942,0.033571524523054,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,1500,Wasserstein,kyy,0.020636918017377,0.0107262467086301,0.0326237949907578,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,1500,Wasserstein,kzz,0.0287871866963959,0.0174728861583656,0.0509800186281325,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp4,2000,MAE,kxx,0.00185625,0.0012125,0.0027,0.00112916666666667,0.000929166666666667,0.00118333333333333
famp4,2000,MAE,kyy,0.00118541666666667,0.000854166666666666,0.0019875,0.000791666666666668,0.000549999999999999,0.000916666666666668
famp4,2000,MAE,kzz,0.00210416666666667,0.00147708333333333,0.00294583333333333,0.000770833333333334,0.000733333333333331,0.000808333333333337
famp4,2000,Hellinger,kxx,0.024058995089315,0.0181063353349171,0.0353432665468156,0.0123854797257182,0.0112558189772338,0.0151056276872302
famp4,2000,Hellinger,kyy,0.0314457772466162,0.026119863886145,0.0386443282762236,0.0162733249124308,0.0134917658528687,0.0169795789233566
famp4,2000,Hellinger,kzz,0.0312547912138526,0.0233022424544506,0.0370761122409721,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,2000,Wasserstein,kxx,0.0181044467632308,0.0114671357970196,0.033381207901794,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,2000,Wasserstein,kyy,0.0133623216215768,0.00936111524443138,0.0326341459636299,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,2000,Wasserstein,kzz,0.0220257442378253,0.0131575250496856,0.0400861284678207,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp5,20,MAE,kxx,0.0167833333333333,0.0120416666666667,0.02698125,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,20,MAE,kyy,0.00973333333333333,0.00582083333333334,0.0161020833333333,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,20,MAE,kzz,0.0210958333333333,0.0152229166666667,0.02780625,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,20,Hellinger,kxx,0.247155472657479,0.180304059391365,0.317678324376135,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,20,Hellinger,kyy,0.203362840036654,0.159601414088272,0.2357005593587,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,20,Hellinger,kzz,0.303006946358179,0.209766079411336,0.40318573079032,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,20,Wasserstein,kxx,0.157623573543552,0.101903506688765,0.351593423120969,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,20,Wasserstein,kyy,0.152892108581712,0.0958367812056741,0.244065772918182,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,20,Wasserstein,kzz,0.298195133762095,0.190862702522369,0.437006626707577,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,50,MAE,kxx,0.01046875,0.00664375,0.0147354166666667,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,50,MAE,kyy,0.00824375,0.00522708333333334,0.0146104166666667,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,50,MAE,kzz,0.01346875,0.00979791666666666,0.01720625,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,50,Hellinger,kxx,0.149820689015826,0.0992697245433167,0.202531098217182,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,50,Hellinger,kyy,0.179885679343815,0.149712741699996,0.220548515527748,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,50,Hellinger,kzz,0.190754724747647,0.155300653729787,0.23002465847039,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,50,Wasserstein,kxx,0.108843787817202,0.0653542690480632,0.150170456889655,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,50,Wasserstein,kyy,0.113422031387443,0.0575292703871823,0.241635883974518,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,50,Wasserstein,kzz,0.189869054105469,0.114942900223197,0.284997163276676,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,100,MAE,kxx,0.0074875,0.00416875,0.0114208333333333,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,100,MAE,kyy,0.00502083333333333,0.00342291666666667,0.00728125,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,100,MAE,kzz,0.0100020833333333,0.00732916666666667,0.0130875,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,100,Hellinger,kxx,0.0973417082588459,0.0822054180725593,0.143915929544907,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,100,Hellinger,kyy,0.137017686985517,0.125961480746488,0.154397684118401,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,100,Hellinger,kzz,0.131391322493799,0.107415282932329,0.17774181815146,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,100,Wasserstein,kxx,0.0688920255832263,0.0407411227692181,0.133541206198611,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,100,Wasserstein,kyy,0.0716895038660787,0.0392194620464647,0.108086617142385,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,100,Wasserstein,kzz,0.127950082310425,0.0666020763405512,0.258013675233187,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,200,MAE,kxx,0.00549375,0.0032,0.0073125,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,200,MAE,kyy,0.00385416666666667,0.00275208333333333,0.00579375,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,200,MAE,kzz,0.00594583333333333,0.00412083333333333,0.00884166666666667,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,200,Hellinger,kxx,0.0745760521084295,0.0543721613477945,0.0942479311261825,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,200,Hellinger,kyy,0.110818542020617,0.0891452858940726,0.137054286901979,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,200,Hellinger,kzz,0.0934736612208611,0.0683721415460997,0.124097862994807,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,200,Wasserstein,kxx,0.0525065438683756,0.0355650628634686,0.0632919442546299,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,200,Wasserstein,kyy,0.058905460756428,0.035288370524967,0.0924130436209282,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,200,Wasserstein,kzz,0.0837968586253528,0.0560776870436861,0.145873271491651,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,300,MAE,kxx,0.00447430555555556,0.00277430555555556,0.00623402777777778,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,300,MAE,kyy,0.00358194444444444,0.00230277777777778,0.00506875,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,300,MAE,kzz,0.00600694444444444,0.00433472222222222,0.00777430555555556,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,300,Hellinger,kxx,0.0625536440522005,0.0433786334810474,0.0778797957928629,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,300,Hellinger,kyy,0.0903486797474234,0.0746342906703057,0.10921350183676,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,300,Hellinger,kzz,0.0866500258081997,0.0661144861736409,0.101639677651372,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,300,Wasserstein,kxx,0.0441653451601173,0.0223095041806243,0.076587142601646,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,300,Wasserstein,kyy,0.0423124024020916,0.0283052251065633,0.0735772090873728,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,300,Wasserstein,kzz,0.0784251080968837,0.0528958204853484,0.135711787148664,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,400,MAE,kxx,0.00391458333333333,0.00213125,0.00578125,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,400,MAE,kyy,0.00265208333333334,0.00168541666666667,0.00342916666666667,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,400,MAE,kzz,0.00481666666666667,0.00352083333333333,0.00633333333333333,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,400,Hellinger,kxx,0.0581786281339199,0.03326207778396,0.0768478454158229,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,400,Hellinger,kyy,0.0745862309437767,0.0606658760003668,0.10139958549178,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,400,Hellinger,kzz,0.0737632276903335,0.0568885334406474,0.0865581465643254,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,400,Wasserstein,kxx,0.0344437600475073,0.0213996999727261,0.0557995966664199,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,400,Wasserstein,kyy,0.0373835089593397,0.0270142147693944,0.066738855903303,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,400,Wasserstein,kzz,0.0724945354063348,0.0389586209186563,0.103761140733166,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,500,MAE,kxx,0.00380625,0.00185625,0.00552291666666667,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,500,MAE,kyy,0.00233125,0.00157708333333333,0.00322708333333333,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,500,MAE,kzz,0.00407916666666667,0.00307916666666667,0.00603333333333333,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,500,Hellinger,kxx,0.0516098961837332,0.0351710943994748,0.069315424884101,0.0142125236777502,0.00820902452731989,0.0159721905989058
