Window,EnsembleType,ReferenceId,Nsim,Repeat,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,SmearOverlapRule
famp1,SmallRun,NaN,500,27,500,500,0,1,207271729,cell_union_psmear
famp1,SmallRun,NaN,500,28,500,500,0,1,207281729,cell_union_psmear
famp1,SmallRun,NaN,500,29,500,500,0,1,207291729,cell_union_psmear
famp1,SmallRun,NaN,500,30,500,500,0,1,207301729,cell_union_psmear
famp1,SmallRun,NaN,750,1,750,750,0,1,208011729,cell_union_psmear
famp1,SmallRun,NaN,750,2,750,750,0,1,208021729,cell_union_psmear
famp1,SmallRun,NaN,750,3,750,750,0,1,208031729,cell_union_psmear
famp1,SmallRun,NaN,750,4,750,750,0,1,208041729,cell_union_psmear
famp1,SmallRun,NaN,750,5,750,750,0,1,208051729,cell_union_psmear
famp1,SmallRun,NaN,750,6,750,750,0,1,208061729,cell_union_psmear
famp1,SmallRun,NaN,750,7,750,750,0,1,208071729,cell_union_psmear
famp1,SmallRun,NaN,750,8,750,750,0,1,208081729,cell_union_psmear
famp1,SmallRun,NaN,750,9,750,750,0,1,208091729,cell_union_psmear
famp1,SmallRun,NaN,750,10,750,750,0,1,208101729,cell_union_psmear
famp1,SmallRun,NaN,750,11,750,750,0,1,208111729,cell_union_psmear
famp1,SmallRun,NaN,750,12,750,750,0,1,208121729,cell_union_psmear
famp1,SmallRun,NaN,750,13,750,750,0,1,208131729,cell_union_psmear
famp1,SmallRun,NaN,750,14,750,750,0,1,208141729,cell_union_psmear
famp1,SmallRun,NaN,750,15,750,750,0,1,208151729,cell_union_psmear
famp1,SmallRun,NaN,750,16,750,750,0,1,208161729,cell_union_psmear
famp1,SmallRun,NaN,750,17,750,750,0,1,208171729,cell_union_psmear
famp1,SmallRun,NaN,750,18,750,750,0,1,208181729,cell_union_psmear
famp1,SmallRun,NaN,750,19,750,750,0,1,208191729,cell_union_psmear
famp1,SmallRun,NaN,750,20,750,750,0,1,208201729,cell_union_psmear
famp1,SmallRun,NaN,750,21,750,750,0,1,208211729,cell_union_psmear
famp1,SmallRun,NaN,750,22,750,750,0,1,208221729,cell_union_psmear
famp1,SmallRun,NaN,750,23,750,750,0,1,208231729,cell_union_psmear
famp1,SmallRun,NaN,750,24,750,750,0,1,208241729,cell_union_psmear
famp1,SmallRun,NaN,750,25,750,750,0,1,208251729,cell_union_psmear
famp1,SmallRun,NaN,750,26,750,750,0,1,208261729,cell_union_psmear
famp1,SmallRun,NaN,750,27,750,750,0,1,208271729,cell_union_psmear
famp1,SmallRun,NaN,750,28,750,750,0,1,208281729,cell_union_psmear
famp1,SmallRun,NaN,750,29,750,750,0,1,208291729,cell_union_psmear
famp1,SmallRun,NaN,750,30,750,750,0,1,208301729,cell_union_psmear
famp1,SmallRun,NaN,1000,1,1000,1000,0,1,209011729,cell_union_psmear
famp1,SmallRun,NaN,1000,2,1000,1000,0,1,209021729,cell_union_psmear
famp1,SmallRun,NaN,1000,3,1000,1000,0,1,209031729,cell_union_psmear
famp1,SmallRun,NaN,1000,4,1000,1000,0,1,209041729,cell_union_psmear
famp1,SmallRun,NaN,1000,5,1000,1000,0,1,209051729,cell_union_psmear
famp1,SmallRun,NaN,1000,6,1000,1000,0,1,209061729,cell_union_psmear
famp1,SmallRun,NaN,1000,7,1000,1000,0,1,209071729,cell_union_psmear
famp1,SmallRun,NaN,1000,8,1000,1000,0,1,209081729,cell_union_psmear
famp1,SmallRun,NaN,1000,9,1000,1000,0,1,209091729,cell_union_psmear
famp1,SmallRun,NaN,1000,10,1000,1000,0,1,209101729,cell_union_psmear
famp1,SmallRun,NaN,1000,11,1000,1000,0,1,209111729,cell_union_psmear
famp1,SmallRun,NaN,1000,12,1000,1000,0,1,209121729,cell_union_psmear
famp1,SmallRun,NaN,1000,13,1000,1000,0,1,209131729,cell_union_psmear
famp1,SmallRun,NaN,1000,14,1000,1000,0,1,209141729,cell_union_psmear
famp1,SmallRun,NaN,1000,15,1000,1000,0,1,209151729,cell_union_psmear
famp1,SmallRun,NaN,1000,16,1000,1000,0,1,209161729,cell_union_psmear
famp1,SmallRun,NaN,1000,17,1000,1000,0,1,209171729,cell_union_psmear
famp1,SmallRun,NaN,1000,18,1000,1000,0,1,209181729,cell_union_psmear
famp1,SmallRun,NaN,1000,19,1000,1000,0,1,209191729,cell_union_psmear
famp1,SmallRun,NaN,1000,20,1000,1000,0,1,209201729,cell_union_psmear
famp1,SmallRun,NaN,1000,21,1000,1000,0,1,209211729,cell_union_psmear
famp1,SmallRun,NaN,1000,22,1000,1000,0,1,209221729,cell_union_psmear
famp1,SmallRun,NaN,1000,23,1000,1000,0,1,209231729,cell_union_psmear
famp1,SmallRun,NaN,1000,24,1000,1000,0,1,209241729,cell_union_psmear
famp1,SmallRun,NaN,1000,25,1000,1000,0,1,209251729,cell_union_psmear
famp1,SmallRun,NaN,1000,26,1000,1000,0,1,209261729,cell_union_psmear
famp1,SmallRun,NaN,1000,27,1000,1000,0,1,209271729,cell_union_psmear
famp1,SmallRun,NaN,1000,28,1000,1000,0,1,209281729,cell_union_psmear
famp1,SmallRun,NaN,1000,29,1000,1000,0,1,209291729,cell_union_psmear
famp1,SmallRun,NaN,1000,30,1000,1000,0,1,209301729,cell_union_psmear
famp1,SmallRun,NaN,1500,1,1500,1500,0,1,210011729,cell_union_psmear
famp1,SmallRun,NaN,1500,2,1500,1500,0,1,210021729,cell_union_psmear
famp1,SmallRun,NaN,1500,3,1500,1500,0,1,210031729,cell_union_psmear
famp1,SmallRun,NaN,1500,4,1500,1500,0,1,210041729,cell_union_psmear
famp1,SmallRun,NaN,1500,5,1500,1500,0,1,210051729,cell_union_psmear
famp1,SmallRun,NaN,1500,6,1500,1500,0,1,210061729,cell_union_psmear
famp1,SmallRun,NaN,1500,7,1500,1500,0,1,210071729,cell_union_psmear
famp1,SmallRun,NaN,1500,8,1500,1500,0,1,210081729,cell_union_psmear
famp1,SmallRun,NaN,1500,9,1500,1500,0,1,210091729,cell_union_psmear
famp1,SmallRun,NaN,1500,10,1500,1500,0,1,210101729,cell_union_psmear
famp1,SmallRun,NaN,1500,11,1500,1500,0,1,210111729,cell_union_psmear
famp1,SmallRun,NaN,1500,12,1500,1500,0,1,210121729,cell_union_psmear
famp1,SmallRun,NaN,1500,13,1500,1500,0,1,210131729,cell_union_psmear
famp1,SmallRun,NaN,1500,14,1500,1500,0,1,210141729,cell_union_psmear
famp1,SmallRun,NaN,1500,15,1500,1500,0,1,210151729,cell_union_psmear
famp1,SmallRun,NaN,1500,16,1500,1500,0,1,210161729,cell_union_psmear
famp1,SmallRun,NaN,1500,17,1500,1500,0,1,210171729,cell_union_psmear
famp1,SmallRun,NaN,1500,18,1500,1500,0,1,210181729,cell_union_psmear
famp1,SmallRun,NaN,1500,19,1500,1500,0,1,210191729,cell_union_psmear
famp1,SmallRun,NaN,1500,20,1500,1500,0,1,210201729,cell_union_psmear
famp1,SmallRun,NaN,1500,21,1500,1500,0,1,210211729,cell_union_psmear
famp1,SmallRun,NaN,1500,22,1500,1500,0,1,210221729,cell_union_psmear
famp1,SmallRun,NaN,1500,23,1500,1500,0,1,210231729,cell_union_psmear
famp1,SmallRun,NaN,1500,24,1500,1500,0,1,210241729,cell_union_psmear
famp1,SmallRun,NaN,1500,25,1500,1500,0,1,210251729,cell_union_psmear
famp1,SmallRun,NaN,1500,26,1500,1500,0,1,210261729,cell_union_psmear
famp1,SmallRun,NaN,1500,27,1500,1500,0,1,210271729,cell_union_psmear
famp1,SmallRun,NaN,1500,28,1500,1500,0,1,210281729,cell_union_psmear
famp1,SmallRun,NaN,1500,29,1500,1500,0,1,210291729,cell_union_psmear
famp1,SmallRun,NaN,1500,30,1500,1500,0,1,210301729,cell_union_psmear
famp1,SmallRun,NaN,2000,1,2000,2000,0,1,211011729,cell_union_psmear
famp1,SmallRun,NaN,2000,2,2000,2000,0,1,211021729,cell_union_psmear
famp1,SmallRun,NaN,2000,3,2000,2000,0,1,211031729,cell_union_psmear
famp1,SmallRun,NaN,2000,4,2000,2000,0,1,211041729,cell_union_psmear
famp1,SmallRun,NaN,2000,5,2000,2000,0,1,211051729,cell_union_psmear
famp1,SmallRun,NaN,2000,6,2000,2000,0,1,211061729,cell_union_psmear
famp1,SmallRun,NaN,2000,7,2000,2000,0,1,211071729,cell_union_psmear
famp1,SmallRun,NaN,2000,8,2000,2000,0,1,211081729,cell_union_psmear
famp1,SmallRun,NaN,2000,9,2000,2000,0,1,211091729,cell_union_psmear
famp1,SmallRun,NaN,2000,10,2000,2000,0,1,211101729,cell_union_psmear
famp1,SmallRun,NaN,2000,11,2000,2000,0,1,211111729,cell_union_psmear
famp1,SmallRun,NaN,2000,12,2000,2000,0,1,211121729,cell_union_psmear
famp1,SmallRun,NaN,2000,13,2000,2000,0,1,211131729,cell_union_psmear
famp1,SmallRun,NaN,2000,14,2000,2000,0,1,211141729,cell_union_psmear
famp1,SmallRun,NaN,2000,15,2000,2000,0,1,211151729,cell_union_psmear
famp1,SmallRun,NaN,2000,16,2000,2000,0,1,211161729,cell_union_psmear
famp1,SmallRun,NaN,2000,17,2000,2000,0,1,211171729,cell_union_psmear
famp1,SmallRun,NaN,2000,18,2000,2000,0,1,211181729,cell_union_psmear
famp1,SmallRun,NaN,2000,19,2000,2000,0,1,211191729,cell_union_psmear
famp1,SmallRun,NaN,2000,20,2000,2000,0,1,211201729,cell_union_psmear
famp1,SmallRun,NaN,2000,21,2000,2000,0,1,211211729,cell_union_psmear
famp1,SmallRun,NaN,2000,22,2000,2000,0,1,211221729,cell_union_psmear
famp1,SmallRun,NaN,2000,23,2000,2000,0,1,211231729,cell_union_psmear
famp1,SmallRun,NaN,2000,24,2000,2000,0,1,211241729,cell_union_psmear
famp1,SmallRun,NaN,2000,25,2000,2000,0,1,211251729,cell_union_psmear
famp1,SmallRun,NaN,2000,26,2000,2000,0,1,211261729,cell_union_psmear
famp1,SmallRun,NaN,2000,27,2000,2000,0,1,211271729,cell_union_psmear
famp1,SmallRun,NaN,2000,28,2000,2000,0,1,211281729,cell_union_psmear
famp1,SmallRun,NaN,2000,29,2000,2000,0,1,211291729,cell_union_psmear
famp1,SmallRun,NaN,2000,30,2000,2000,0,1,211301729,cell_union_psmear
famp2,Reference,1,NaN,NaN,20000,20000,0,1,201001729,cell_union_psmear
famp2,Reference,2,NaN,NaN,20000,20000,0,1,202001729,cell_union_psmear
famp2,Reference,3,NaN,NaN,20000,20000,0,1,203001729,cell_union_psmear
famp2,SmallRun,NaN,20,1,20,20,0,1,301011729,cell_union_psmear
famp2,SmallRun,NaN,20,2,20,20,0,1,301021729,cell_union_psmear
famp2,SmallRun,NaN,20,3,20,20,0,1,301031729,cell_union_psmear
famp2,SmallRun,NaN,20,4,20,20,0,1,301041729,cell_union_psmear
famp2,SmallRun,NaN,20,5,20,20,0,1,301051729,cell_union_psmear
famp2,SmallRun,NaN,20,6,20,20,0,1,301061729,cell_union_psmear
famp2,SmallRun,NaN,20,7,20,20,0,1,301071729,cell_union_psmear
famp2,SmallRun,NaN,20,8,20,20,0,1,301081729,cell_union_psmear
famp2,SmallRun,NaN,20,9,20,20,0,1,301091729,cell_union_psmear
famp2,SmallRun,NaN,20,10,20,20,0,1,301101729,cell_union_psmear
