Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp4,Hellinger,kzz,R2_R3,0.0145373472243125,0.0145373472243125,0.0129511774365223,0.0157077762333247
famp4,Wasserstein,kxx,R2_R3,0.00897109784696755,0.00897109784696755,0.00859389781231995,0.0150959035277713
famp4,Wasserstein,kyy,R2_R3,0.0125803118449009,0.010562159635469,0.00359027936551192,0.0125803118449009
famp4,Wasserstein,kzz,R2_R3,0.0137065317188702,0.0137065317188702,0.0110092418410949,0.0199180837365108
famp5,MAE,kxx,R1_R2,0.000295833333333334,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,MAE,kyy,R1_R2,0.00045416666666667,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,MAE,kzz,R1_R2,0.000858333333333334,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,Hellinger,kxx,R1_R2,0.00820902452731989,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,Hellinger,kyy,R1_R2,0.00995732966993019,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,Hellinger,kzz,R1_R2,0.0127367139863338,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,Wasserstein,kxx,R1_R2,0.00326992754812289,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,Wasserstein,kyy,R1_R2,0.0111000812941789,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,Wasserstein,kzz,R1_R2,0.00914027646965542,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,MAE,kxx,R1_R3,0.00120833333333333,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,MAE,kyy,R1_R3,0.000391666666666668,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,MAE,kzz,R1_R3,0.00112916666666666,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,Hellinger,kxx,R1_R3,0.0159721905989058,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,Hellinger,kyy,R1_R3,0.00901549474284878,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,Hellinger,kzz,R1_R3,0.011740220026876,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,Wasserstein,kxx,R1_R3,0.00659362526047329,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,Wasserstein,kyy,R1_R3,0.00598617119627902,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,Wasserstein,kzz,R1_R3,0.010382397316845,0.010382397316845,0.00914027646965542,0.0158334019387612
famp5,MAE,kxx,R2_R3,0.00104166666666667,0.00104166666666667,0.000295833333333334,0.00120833333333333
famp5,MAE,kyy,R2_R3,0.000383333333333334,0.000391666666666668,0.000383333333333334,0.00045416666666667
famp5,MAE,kzz,R2_R3,0.000933333333333331,0.000933333333333331,0.000858333333333334,0.00112916666666666
famp5,Hellinger,kxx,R2_R3,0.0142125236777502,0.0142125236777502,0.00820902452731989,0.0159721905989058
famp5,Hellinger,kyy,R2_R3,0.0122089164501149,0.00995732966993019,0.00901549474284878,0.0122089164501149
famp5,Hellinger,kzz,R2_R3,0.010653873191687,0.011740220026876,0.010653873191687,0.0127367139863338
famp5,Wasserstein,kxx,R2_R3,0.00456789842228396,0.00456789842228396,0.00326992754812289,0.00659362526047329
famp5,Wasserstein,kyy,R2_R3,0.0137936284951583,0.0111000812941789,0.00598617119627902,0.0137936284951583
famp5,Wasserstein,kzz,R2_R3,0.0158334019387612,0.010382397316845,0.00914027646965542,0.0158334019387612
famp6,MAE,kxx,R1_R2,0.0010125,0.0010125,0.000675,0.00157916666666666
famp6,MAE,kyy,R1_R2,0.00106666666666667,0.000991666666666665,0.000391666666666667,0.00106666666666667
famp6,MAE,kzz,R1_R2,0.0010375,0.0010375,0.0007625,0.00129583333333333
famp6,Hellinger,kxx,R1_R2,0.0147113116310497,0.0147113116310497,0.0112974309777466,0.0180502524842278
famp6,Hellinger,kyy,R1_R2,0.0130073552262477,0.0126886015374127,0.00660143353184843,0.0130073552262477
famp6,Hellinger,kzz,R1_R2,0.0159906728450058,0.0159906728450058,0.014919628650779,0.0172622701102037
famp6,Wasserstein,kxx,R1_R2,0.0402200517457507,0.0402200517457507,0.0242516620547104,0.0641515382632594
famp6,Wasserstein,kyy,R1_R2,0.0158397296585634,0.0125580637710983,0.00418493331862305,0.0158397296585634
famp6,Wasserstein,kzz,R1_R2,0.0257708635010353,0.0257708635010353,0.0171751199639115,0.0422495006360323
