ScenarioIndex,ScenarioLabel,ScenarioName,Window,OriginalFWPattern,OriginalHWPattern,CollapsedFWPattern,CollapsedHWPattern,CollapsedFWThickness,CollapsedHWThickness,CollapsedFWZmax,CollapsedHWZmax,SmearOverlapRule,CollapseAdjacentLithology,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,112101729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,112201729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,112301729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,112401729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,112501729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,112601729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,112701729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,1,case_001_zf0050_svcl010_cvcl040,50,0.1,0.4,2000,2000,0,1,120101729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_001_zf0050_svcl010_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,2,case_002_zf0050_svcl010_cvcl050,50,0.1,0.5,2000,2000,0,1,120201729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_002_zf0050_svcl010_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,3,case_003_zf0050_svcl010_cvcl060,50,0.1,0.6,2000,2000,0,1,120301729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_003_zf0050_svcl010_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,4,case_004_zf0050_svcl020_cvcl040,50,0.2,0.4,2000,2000,0,1,120401729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_004_zf0050_svcl020_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,5,case_005_zf0050_svcl020_cvcl050,50,0.2,0.5,2000,2000,0,1,120501729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_005_zf0050_svcl020_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,6,case_006_zf0050_svcl020_cvcl060,50,0.2,0.6,2000,2000,0,1,120601729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_006_zf0050_svcl020_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,7,case_007_zf0050_svcl030_cvcl040,50,0.3,0.4,2000,2000,0,1,120701729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_007_zf0050_svcl030_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,8,case_008_zf0050_svcl030_cvcl050,50,0.3,0.5,2000,2000,0,1,120801729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_008_zf0050_svcl030_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp2,SCCC,SCCC,SC,SC,36.9255 109.0185,36.5042 109.4398,1837.5 1787.3951,1837.5 1787.5,cell_union_psmear,1,9,case_009_zf0050_svcl030_cvcl060,50,0.3,0.6,2000,2000,0,1,120901729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp2\case_009_zf0050_svcl030_cvcl060\predict_runs.mat
