sample_index,log10_kxx,log10_kyy,log10_kzz,cluster
85,-2.3732363949,-1.1512277860,-0.7477594162,2
86,-2.2836795656,-0.9740253387,-0.9868066374,2
87,-2.2251642703,-1.0941335847,-0.9506908350,2
88,-2.1965578775,-1.2113698470,-0.9280158795,2
89,-4.9483489002,-0.5451195537,-0.8993002846,1
90,-2.5396446940,-1.2174667151,-0.9770322583,2
91,-3.2158658639,-1.2355221741,-1.0352474887,2
92,-5.0924982123,-1.0395312233,-1.1588244953,1
93,-1.4403417796,-1.2751682161,-1.3975480870,2
94,-2.5721783579,-1.1925791205,-1.0316226916,2
95,-4.6473949567,-1.3939136000,-1.0696188578,1
96,-2.3777039500,-1.1754418591,-1.0954092526,2
97,-1.9962809973,-1.2667567796,-0.9073587958,2
98,-2.6428071892,-1.4476478875,-1.3974119764,2
99,-2.2628444697,-0.8429511850,-0.7834042985,2
100,-2.8913879677,-0.8823890050,-0.9052282015,2
101,-2.1274204772,-0.8262388763,-0.8363879669,2
102,-4.5719234316,-1.4486173865,-1.9938624336,1
103,-2.4680251834,-1.2803994885,-1.7414993475,2
104,-1.6196695882,-1.2450049542,-1.3840424806,2
105,-1.9793357768,-1.1781724630,-1.2692508078,2
106,-1.8724316772,-1.2668861735,-1.0500145088,2
107,-2.3461718166,-1.3516897298,-4.4644876311,3
108,-1.7002289900,-1.1919803294,-0.7116556233,2
109,-2.1889980672,-1.1315547134,-1.0060743476,2
110,-2.0801467141,-0.8656212461,-0.9013896414,2
111,-2.6787124341,-1.1558792399,-1.4032738580,2
112,-5.7402471221,-1.5312405415,-5.0181227213,3
113,-2.6642460776,-1.3842706923,-1.1150383644,2
114,-3.2373100492,-1.0575151750,-0.9561191427,2
115,-2.6966787556,-1.3978135613,-1.4154372932,2
116,-2.1950395322,-1.1789801763,-1.1906595111,2
117,-1.9525595109,-1.0589304716,-0.8071934467,2
118,-1.8275748329,-0.8813865741,-0.9016662127,2
119,-3.7038004816,-0.8660880455,-1.1006819227,1
120,-4.3505761790,-0.8185522876,-0.9438183644,1
121,-2.3682078314,-0.8717676568,-1.3917062024,2
122,-2.3892579253,-1.1638349047,-1.0904918475,2
123,-2.0650597407,-1.1662078082,-4.9922863994,3
124,-2.0312440175,-1.4997620949,-0.7311019549,2
125,-1.9556990818,-1.9757867308,-1.3542657322,2
126,-1.6342369527,-1.0244930050,-1.5768550708,2
127,-1.8649838190,-1.1379216426,-1.2695123231,2
128,-2.0307978219,-1.3532800270,-2.1365666583,2
129,-1.5432994359,-1.0597401571,-4.7749708111,3
130,-2.4312779567,-1.1250866154,-4.9517671199,3
131,-4.0394172332,-1.3630278544,-0.9723991733,1
132,-2.8939528174,-1.0678879082,-4.8164214786,3
133,-3.1153373980,-1.1358360433,-0.9898239623,2
134,-2.4385996140,-1.1775141774,-1.2118833156,2
135,-2.5891024820,-1.5336888102,-0.7084859087,2
136,-2.9662381229,-1.5162199186,-0.9933582187,2
137,-5.4059338185,-1.0658196938,-4.8547676014,3
138,-2.0949297767,-1.2753615061,-1.2723481970,2
139,-2.1613011405,-1.0553381433,-1.0275573762,2
140,-2.6263572283,-1.5415858744,-1.4128202328,2
141,-2.4146837389,-0.8479609605,-0.6577798833,2
142,-1.9600594101,-1.2260194731,-1.1064335809,2
143,-1.8679479813,-1.2983910607,-0.8979011380,2
144,-3.3003707574,-1.1516835618,-1.0604112943,2
145,-2.5533207056,-1.6720939836,-1.9154625195,2
146,-2.0545975009,-1.0911773946,-0.8655726906,2
147,-2.9848991786,-1.3415144055,-4.9078712283,3
148,-2.0431414618,-1.6325225843,-1.0386287571,2
149,-2.2462216935,-1.8693922987,-1.0373217571,2
150,-1.9562229542,-1.5175216325,-0.8320506475,2
151,-2.6743917146,-1.1411586128,-1.9656648606,2
152,-2.1223431369,-1.1964255036,-1.2326991261,2
153,-2.5789619071,-1.1454741861,-0.6243482561,2
154,-2.0406679712,-1.0270062430,-1.2182440777,2
155,-2.7012136365,-1.4981653518,-1.0309242424,2
156,-4.6928920812,-1.1607463269,-1.1224241881,1
157,-1.9986176001,-1.6515213879,-1.1857842270,2
158,-3.7379262417,-0.9635523857,-0.7406749719,1
159,-2.9270306955,-1.0063886319,-0.7840429879,2
160,-2.8884390862,-1.0737091905,-1.1474943653,2
161,-3.2938377940,-1.1626156366,-0.7617085480,2
162,-1.9729526428,-1.4248460091,-1.1039463037,2
163,-4.7363855754,-1.2769132454,-1.3902782391,1
164,-2.6116579639,-1.0003240856,-1.5537715656,2
165,-2.0989272823,-1.2956407528,-1.4990314779,2
166,-2.8159788365,-1.2572958214,-1.1040329278,2
167,-2.4443626883,-1.2571205241,-1.2137047046,2
