Window,Nsim,Component,MAE,Hellinger,TotalVariation,Wasserstein
famp4,500,kxx,0.00331666666666667,0.0590881173510089,0.0398,0.0441650358796113
famp4,500,kyy,0.00456666666666666,0.0515314148993461,0.0548,0.0360882546991943
famp4,500,kzz,0.00258333333333333,0.044997758492108,0.031,0.0308571420806006
famp4,1000,kxx,0.00420833333333333,0.0595487551504464,0.0505,0.0516501145379718
famp4,1000,kyy,0.00284166666666667,0.0344927982788878,0.0341,0.0225281474658495
famp4,1000,kzz,0.00489166666666667,0.0854250529168158,0.0587,0.130750009515971
famp5,10,kxx,0.0191916666666667,0.307227898400142,0.2303,0.16318090711295
famp5,10,kyy,0.027225,0.409032122953247,0.3267,0.246054724230832
famp5,10,kzz,0.0259083333333333,0.3106263424012,0.3109,0.289963689280678
famp5,20,kxx,0.0193333333333333,0.260842723892058,0.232,0.302658302019616
famp5,20,kyy,0.02425,0.337663087668783,0.291,0.347526388279491
famp5,20,kzz,0.0198666666666667,0.264245805314565,0.2384,0.231977028644991
famp5,30,kxx,0.0231222222222222,0.315148422416307,0.277466666666667,0.172674582762879
famp5,30,kyy,0.0137194444444444,0.205181993659968,0.164633333333333,0.122664222496145
famp5,30,kzz,0.0103277777777778,0.197040124983609,0.123933333333333,0.163844410828112
famp5,40,kxx,0.0110333333333333,0.180454000078947,0.1324,0.175293159543369
famp5,40,kyy,0.0179333333333333,0.219606067134424,0.2152,0.415029661085485
famp5,40,kzz,0.01205,0.138838779372696,0.1446,0.129911486318521
famp5,50,kxx,0.0152833333333333,0.170261946534191,0.1834,0.119507927410383
famp5,50,kyy,0.00889166666666667,0.177107840107272,0.1067,0.0978227867832417
famp5,50,kzz,0.0091,0.170580298497803,0.1092,0.182327113855359
famp5,100,kxx,0.00956666666666667,0.170319935715431,0.1148,0.109141365026635
famp5,100,kyy,0.00823333333333334,0.111804631378363,0.0988,0.0767326114574788
famp5,100,kzz,0.00973333333333333,0.131229727878091,0.1168,0.181030645847832
famp5,200,kxx,0.00766666666666667,0.104225854486348,0.092,0.141903808304977
famp5,200,kyy,0.00781666666666667,0.0948239327317707,0.0938,0.129589882763993
famp5,200,kzz,0.00903333333333333,0.12843156685025,0.1084,0.0749736186371673
famp5,300,kxx,0.00701111111111111,0.100916658355124,0.0841333333333333,0.0396560041471089
famp5,300,kyy,0.00598055555555556,0.0688813992557178,0.0717666666666667,0.0841315470927406
famp5,300,kzz,0.00783333333333333,0.120332008648992,0.0939999999999999,0.137724584469356
famp5,400,kxx,0.003825,0.0720090856018898,0.0459,0.0441090075518699
famp5,400,kyy,0.00614166666666667,0.0757111720382471,0.0737,0.0959848933362154
famp5,400,kzz,0.00455833333333333,0.0793800719321724,0.0547,0.0462884259692875
famp5,500,kxx,0.00595,0.0797502130487526,0.0714,0.0845139086656498
famp5,500,kyy,0.00470833333333333,0.0599340419168648,0.0565,0.0372824830791971
famp5,500,kzz,0.002975,0.0686352236986419,0.0357,0.0315042276991711
famp5,1000,kxx,0.00343333333333333,0.0632864913977503,0.0412,0.0493093885614358
famp5,1000,kyy,0.00375,0.041319155670411,0.045,0.0412662825851268
famp5,1000,kzz,0.00266666666666667,0.0446908236684605,0.032,0.0396227879588093
famp6,10,kxx,0.0320333333333333,0.480520654335058,0.3844,0.283886188425596
famp6,10,kyy,0.0120666666666667,0.251965414919809,0.1448,0.154756853814088
famp6,10,kzz,0.017975,0.313258707169565,0.2157,0.229953937609628
famp6,20,kxx,0.0165083333333333,0.285205476292074,0.1981,0.31665459197349
famp6,20,kyy,0.01035,0.121130412428932,0.1242,0.129006985897258
famp6,20,kzz,0.023325,0.306705863269441,0.2799,0.140541548733113
famp6,30,kxx,0.0182111111111111,0.270466450115791,0.218533333333333,0.12252254077424
famp6,30,kyy,0.00895,0.123726242358652,0.1074,0.060456363373142
