Window,Metric,Component,ReferencePair,Distance,FloorMedian,FloorMin,FloorMax
famp4,Wasserstein,kxx,R1_R2,0.00686337059683023,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,Wasserstein,kyy,R1_R2,0.00624980955772391,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,Wasserstein,kzz,R1_R2,0.011435921434879,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,MAE,kxx,R1_R3,0.00125833333333333,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,MAE,kyy,R1_R3,0.000837500000000001,0.000841666666666666,0.000837500000000001,0.00105
famp4,MAE,kzz,R1_R3,0.00105833333333333,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,Hellinger,kxx,R1_R3,0.0149189331820998,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,Hellinger,kyy,R1_R3,0.0132858221337379,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,Hellinger,kzz,R1_R3,0.0172688862348541,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,Wasserstein,kxx,R1_R3,0.0129207619585896,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,Wasserstein,kyy,R1_R3,0.00978591480215477,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,Wasserstein,kzz,R1_R3,0.0387240267278587,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,MAE,kxx,R2_R3,0.00117916666666667,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,MAE,kyy,R2_R3,0.00105,0.000841666666666666,0.000837500000000001,0.00105
famp4,MAE,kzz,R2_R3,0.000983333333333331,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,Hellinger,kxx,R2_R3,0.0141594883670067,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,Hellinger,kyy,R2_R3,0.013488701419251,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,Hellinger,kzz,R2_R3,0.0176256990473387,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,Wasserstein,kxx,R2_R3,0.015901771125119,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,Wasserstein,kyy,R2_R3,0.00792099338088277,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,Wasserstein,kzz,R2_R3,0.0276380964062994,0.0276380964062994,0.011435921434879,0.0387240267278587
famp5,MAE,kxx,R1_R2,0.000933333333333335,0.000820833333333334,0.000666666666666666,0.000933333333333335
famp5,MAE,kyy,R1_R2,0.000891666666666668,0.000891666666666668,0.0004375,0.000941666666666667
famp5,MAE,kzz,R1_R2,0.000883333333333332,0.000687500000000001,0.000599999999999999,0.000883333333333332
famp5,Hellinger,kxx,R1_R2,0.00993784270818745,0.00948897446287664,0.00887472341505985,0.00993784270818745
famp5,Hellinger,kyy,R1_R2,0.0100528302630276,0.0100528302630276,0.00809925710492207,0.0113566313534739
famp5,Hellinger,kzz,R1_R2,0.0123912176603858,0.0123912176603858,0.0109136617450829,0.0124012605027441
famp5,Wasserstein,kxx,R1_R2,0.00921800494848425,0.00921800494848425,0.00796551502974451,0.00927729568518265
famp5,Wasserstein,kyy,R1_R2,0.0163907905561586,0.0163907905561586,0.00596177952102211,0.0165706718609889
famp5,Wasserstein,kzz,R1_R2,0.0110653880414705,0.00936264237104143,0.00640365278566259,0.0110653880414705
famp5,MAE,kxx,R1_R3,0.000666666666666666,0.000820833333333334,0.000666666666666666,0.000933333333333335
famp5,MAE,kyy,R1_R3,0.0004375,0.000891666666666668,0.0004375,0.000941666666666667
famp5,MAE,kzz,R1_R3,0.000687500000000001,0.000687500000000001,0.000599999999999999,0.000883333333333332
famp5,Hellinger,kxx,R1_R3,0.00887472341505985,0.00948897446287664,0.00887472341505985,0.00993784270818745
famp5,Hellinger,kyy,R1_R3,0.00809925710492207,0.0100528302630276,0.00809925710492207,0.0113566313534739
famp5,Hellinger,kzz,R1_R3,0.0124012605027441,0.0123912176603858,0.0109136617450829,0.0124012605027441
famp5,Wasserstein,kxx,R1_R3,0.00796551502974451,0.00921800494848425,0.00796551502974451,0.00927729568518265
famp5,Wasserstein,kyy,R1_R3,0.00596177952102211,0.0163907905561586,0.00596177952102211,0.0165706718609889
famp5,Wasserstein,kzz,R1_R3,0.00640365278566259,0.00936264237104143,0.00640365278566259,0.0110653880414705
famp5,MAE,kxx,R2_R3,0.000820833333333334,0.000820833333333334,0.000666666666666666,0.000933333333333335
famp5,MAE,kyy,R2_R3,0.000941666666666667,0.000891666666666668,0.0004375,0.000941666666666667
famp5,MAE,kzz,R2_R3,0.000599999999999999,0.000687500000000001,0.000599999999999999,0.000883333333333332
famp5,Hellinger,kxx,R2_R3,0.00948897446287664,0.00948897446287664,0.00887472341505985,0.00993784270818745
famp5,Hellinger,kyy,R2_R3,0.0113566313534739,0.0100528302630276,0.00809925710492207,0.0113566313534739
famp5,Hellinger,kzz,R2_R3,0.0109136617450829,0.0123912176603858,0.0109136617450829,0.0124012605027441
famp5,Wasserstein,kxx,R2_R3,0.00927729568518265,0.00921800494848425,0.00796551502974451,0.00927729568518265
famp5,Wasserstein,kyy,R2_R3,0.0165706718609889,0.0163907905561586,0.00596177952102211,0.0165706718609889
famp5,Wasserstein,kzz,R2_R3,0.00936264237104143,0.00936264237104143,0.00640365278566259,0.0110653880414705
famp6,MAE,kxx,R1_R2,0.000958333333333332,0.000958333333333332,0.000716666666666665,0.00126666666666667
famp6,MAE,kyy,R1_R2,0.000525,0.000637499999999998,0.000525,0.000754166666666666
famp6,MAE,kzz,R1_R2,0.00146666666666667,0.00105833333333333,0.000779166666666666,0.00146666666666667
famp6,Hellinger,kxx,R1_R2,0.010540003098765,0.010540003098765,0.0102104914896243,0.0155458546595757
famp6,Hellinger,kyy,R1_R2,0.00722129980194196,0.00737488268166652,0.00722129980194196,0.00883041565388499
famp6,Hellinger,kzz,R1_R2,0.0168452483062499,0.0147822876680006,0.0112777889324976,0.0168452483062499
famp6,Wasserstein,kxx,R1_R2,0.0222271054832395,0.0211235847234188,0.00880497867413632,0.0222271054832395
famp6,Wasserstein,kyy,R1_R2,0.00436957981351354,0.00528385062717225,0.00436957981351354,0.00697353663699057
famp6,Wasserstein,kzz,R1_R2,0.00925678142762056,0.0162160018266754,0.00925678142762056,0.0183122598895197
famp6,MAE,kxx,R1_R3,0.00126666666666667,0.000958333333333332,0.000716666666666665,0.00126666666666667
famp6,MAE,kyy,R1_R3,0.000754166666666666,0.000637499999999998,0.000525,0.000754166666666666
famp6,MAE,kzz,R1_R3,0.00105833333333333,0.00105833333333333,0.000779166666666666,0.00146666666666667
famp6,Hellinger,kxx,R1_R3,0.0155458546595757,0.010540003098765,0.0102104914896243,0.0155458546595757
famp6,Hellinger,kyy,R1_R3,0.00883041565388499,0.00737488268166652,0.00722129980194196,0.00883041565388499
famp6,Hellinger,kzz,R1_R3,0.0147822876680006,0.0147822876680006,0.0112777889324976,0.0168452483062499
famp6,Wasserstein,kxx,R1_R3,0.0211235847234188,0.0211235847234188,0.00880497867413632,0.0222271054832395
famp6,Wasserstein,kyy,R1_R3,0.00697353663699057,0.00528385062717225,0.00436957981351354,0.00697353663699057
famp6,Wasserstein,kzz,R1_R3,0.0183122598895197,0.0162160018266754,0.00925678142762056,0.0183122598895197
famp6,MAE,kxx,R2_R3,0.000716666666666665,0.000958333333333332,0.000716666666666665,0.00126666666666667
famp6,MAE,kyy,R2_R3,0.000637499999999998,0.000637499999999998,0.000525,0.000754166666666666
famp6,MAE,kzz,R2_R3,0.000779166666666666,0.00105833333333333,0.000779166666666666,0.00146666666666667
famp6,Hellinger,kxx,R2_R3,0.0102104914896243,0.010540003098765,0.0102104914896243,0.0155458546595757
famp6,Hellinger,kyy,R2_R3,0.00737488268166652,0.00737488268166652,0.00722129980194196,0.00883041565388499
famp6,Hellinger,kzz,R2_R3,0.0112777889324976,0.0147822876680006,0.0112777889324976,0.0168452483062499
famp6,Wasserstein,kxx,R2_R3,0.00880497867413632,0.0211235847234188,0.00880497867413632,0.0222271054832395
famp6,Wasserstein,kyy,R2_R3,0.00528385062717225,0.00528385062717225,0.00436957981351354,0.00697353663699057
famp6,Wasserstein,kzz,R2_R3,0.0162160018266754,0.0162160018266754,0.00925678142762056,0.0183122598895197
