Window,Nsim,Repeat,Metric,Component,Score
famp1,50,3,Hellinger,kxx,0.183547467981797
famp1,50,3,Hellinger,kyy,0.168266080686268
famp1,50,3,Hellinger,kzz,0.176082433688943
famp1,50,3,Wasserstein,kxx,0.0991596348544372
famp1,50,3,Wasserstein,kyy,0.10794797348535
famp1,50,3,Wasserstein,kzz,0.145862656595165
famp1,50,4,MAE,kxx,0.00825416666666666
famp1,50,4,MAE,kyy,0.0075875
famp1,50,4,MAE,kzz,0.00477083333333333
famp1,50,4,Hellinger,kxx,0.131543760347274
famp1,50,4,Hellinger,kyy,0.129950176886696
famp1,50,4,Hellinger,kzz,0.0843332093927279
famp1,50,4,Wasserstein,kxx,0.0903999303130714
famp1,50,4,Wasserstein,kyy,0.079258426057125
famp1,50,4,Wasserstein,kzz,0.0502496796429751
famp1,50,5,MAE,kxx,0.0121958333333333
famp1,50,5,MAE,kyy,0.00892916666666667
famp1,50,5,MAE,kzz,0.00950833333333334
famp1,50,5,Hellinger,kxx,0.239244171651011
famp1,50,5,Hellinger,kyy,0.140298695735848
famp1,50,5,Hellinger,kzz,0.218866453783751
famp1,50,5,Wasserstein,kxx,0.271324325572444
famp1,50,5,Wasserstein,kyy,0.0548818249915035
famp1,50,5,Wasserstein,kzz,0.252087282760866
famp1,50,6,MAE,kxx,0.012975
famp1,50,6,MAE,kyy,0.00306666666666667
famp1,50,6,MAE,kzz,0.006175
famp1,50,6,Hellinger,kxx,0.203747659756981
famp1,50,6,Hellinger,kyy,0.112517624992222
famp1,50,6,Hellinger,kzz,0.142063969708317
famp1,50,6,Wasserstein,kxx,0.157838617114593
famp1,50,6,Wasserstein,kyy,0.0958886857762219
famp1,50,6,Wasserstein,kzz,0.15628358150906
famp1,50,7,MAE,kxx,0.0163541666666667
famp1,50,7,MAE,kyy,0.0119458333333333
famp1,50,7,MAE,kzz,0.0081125
famp1,50,7,Hellinger,kxx,0.187674283181402
famp1,50,7,Hellinger,kyy,0.169008620366182
famp1,50,7,Hellinger,kzz,0.148573175967401
famp1,50,7,Wasserstein,kxx,0.211276327438085
famp1,50,7,Wasserstein,kyy,0.106684167426281
famp1,50,7,Wasserstein,kzz,0.190126442194954
famp1,50,8,MAE,kxx,0.01295
famp1,50,8,MAE,kyy,0.00487916666666667
famp1,50,8,MAE,kzz,0.00842083333333333
famp1,50,8,Hellinger,kxx,0.215387100537862
famp1,50,8,Hellinger,kyy,0.141769220010694
famp1,50,8,Hellinger,kzz,0.150639514684382
famp1,50,8,Wasserstein,kxx,0.0821866472329765
famp1,50,8,Wasserstein,kyy,0.0861349111046652
famp1,50,8,Wasserstein,kzz,0.0764986768585338
famp1,50,9,MAE,kxx,0.0118166666666667
famp1,50,9,MAE,kyy,0.00824166666666667
famp1,50,9,MAE,kzz,0.004225
famp1,50,9,Hellinger,kxx,0.202162348430092
famp1,50,9,Hellinger,kyy,0.159235300571706
famp1,50,9,Hellinger,kzz,0.139995011988425
famp1,50,9,Wasserstein,kxx,0.174493965348151
famp1,50,9,Wasserstein,kyy,0.0588627314277132
famp1,50,9,Wasserstein,kzz,0.110119847036418
famp1,50,10,MAE,kxx,0.00973333333333333
famp1,50,10,MAE,kyy,0.0135416666666667
famp1,50,10,MAE,kzz,0.00564166666666667
famp1,50,10,Hellinger,kxx,0.149968361183059
famp1,50,10,Hellinger,kyy,0.16567703193586
