Window,Nsim,Metric,Component,MedianScore,P10Score,P90Score,FloorMedian,FloorMin,FloorMax
famp4,200,Wasserstein,kzz,0.0687199269076007,0.0384185908805561,0.123297995343292,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,300,MAE,kxx,0.00527569444444444,0.00401527777777778,0.00762916666666667,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,300,MAE,kyy,0.00568888888888889,0.00413541666666667,0.00866041666666667,0.000841666666666666,0.000837500000000001,0.00105
famp4,300,MAE,kzz,0.0042625,0.00249236111111111,0.00587986111111111,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,300,Hellinger,kxx,0.077796195423436,0.0573907534912211,0.0965745768161155,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,300,Hellinger,kyy,0.0792057624683248,0.0616386495297383,0.102707125785853,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,300,Hellinger,kzz,0.0710200009724566,0.051961080950179,0.102058259572125,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,300,Wasserstein,kxx,0.0586362301138254,0.0425652524295747,0.0998319809730052,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,300,Wasserstein,kyy,0.0760972014081884,0.0369381312227979,0.160488041985837,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,300,Wasserstein,kzz,0.0586561905863857,0.0371302327420774,0.0917478819573742,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,400,MAE,kxx,0.00469166666666667,0.00321666666666667,0.00548125,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,400,MAE,kyy,0.0056375,0.00403541666666667,0.00738333333333333,0.000841666666666666,0.000837500000000001,0.00105
famp4,400,MAE,kzz,0.00417083333333333,0.0024625,0.00548958333333333,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,400,Hellinger,kxx,0.0627912530333065,0.0507310196523573,0.0774480312948961,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,400,Hellinger,kyy,0.0728722156347486,0.0609010784426022,0.0897186803102006,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,400,Hellinger,kzz,0.069189248671916,0.0503810254993976,0.0813182529719186,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,400,Wasserstein,kxx,0.0457882462859384,0.0358081333524788,0.0743734198127519,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,400,Wasserstein,kyy,0.0863081644668141,0.0424651913166344,0.141419610769732,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,400,Wasserstein,kzz,0.0450584609302287,0.0342012426444123,0.093296530805168,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,500,MAE,kxx,0.00361875,0.00265416666666667,0.00508541666666667,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,500,MAE,kyy,0.00455625,0.00326458333333333,0.00573333333333333,0.000841666666666666,0.000837500000000001,0.00105
famp4,500,MAE,kzz,0.00393125,0.00288958333333333,0.00556666666666667,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,500,Hellinger,kxx,0.0518830019020844,0.0383834256586061,0.0677494833127835,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,500,Hellinger,kyy,0.0668801284155245,0.0490953285752691,0.0768081717367704,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,500,Hellinger,kzz,0.0648245204717253,0.0508462430166121,0.0761437458112665,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,500,Wasserstein,kxx,0.0408757301079445,0.0254434812887014,0.0694024676744096,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,500,Wasserstein,kyy,0.062387398892908,0.0370252098638853,0.134033978092413,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,500,Wasserstein,kzz,0.0441753635774259,0.0250049682758483,0.0906713864053523,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,750,MAE,kxx,0.00329722222222222,0.00259166666666667,0.00454166666666667,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,750,MAE,kyy,0.00361111111111111,0.00282013888888889,0.00521041666666667,0.000841666666666666,0.000837500000000001,0.00105
famp4,750,MAE,kzz,0.00335694444444444,0.00212361111111111,0.00419375,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,750,Hellinger,kxx,0.0498060825855263,0.0359969508782743,0.0618778912852979,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,750,Hellinger,kyy,0.0503633580315846,0.0429563675567487,0.0594477349162877,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,750,Hellinger,kzz,0.0530404107526264,0.0430336242369185,0.0702304191641213,0.0176256990473387,0.0172688862348541,0.018543685984192
famp4,750,Wasserstein,kxx,0.0389988910172716,0.0267026715708554,0.0680325427750151,0.0129207619585896,0.00686337059683023,0.015901771125119
famp4,750,Wasserstein,kyy,0.0495089714641644,0.0259014473464024,0.0947637658322164,0.00792099338088277,0.00624980955772391,0.00978591480215477
famp4,750,Wasserstein,kzz,0.0299223842909742,0.0212709200701509,0.05049144270028,0.0276380964062994,0.011435921434879,0.0387240267278587
famp4,1000,MAE,kxx,0.00311041666666667,0.00207708333333333,0.00420625,0.00117916666666667,0.000745833333333334,0.00125833333333333
famp4,1000,MAE,kyy,0.00331875,0.00216458333333333,0.00426041666666666,0.000841666666666666,0.000837500000000001,0.00105
famp4,1000,MAE,kzz,0.00282291666666667,0.00212083333333333,0.00364583333333333,0.000983333333333331,0.000629166666666666,0.00105833333333333
famp4,1000,Hellinger,kxx,0.0408597792387898,0.0296480791822339,0.0549933783656723,0.0141594883670067,0.0109669385375734,0.0149189331820998
famp4,1000,Hellinger,kyy,0.0483545028306756,0.0346337366880066,0.0562143972319235,0.013488701419251,0.0132858221337379,0.0135814265326455
famp4,1000,Hellinger,kzz,0.0460414818222653,0.040327084815516,0.0552620234471523,0.0176256990473387,0.0172688862348541,0.018543685984192
